title,review_text,rating
Impact full,"Dhurandhar is a strong and engaging film that leaves a lasting impression through its powerful performances and well crafted story. The movie keeps you connected from start to finish without unnecessary complications, and the emotional weight of each character adds depth to the overall experience.Akshaye Khanna stands out instantly. His calm yet intense way of acting gives the film a very solid foundation. He doesn't need loud moments to create impact his expressions, timing, and controlled performance speak for themselves. Every time he appears on screen, the scene feels more serious and meaningful.Sanjay Dutt brings his natural authority and experience to the film. His presence adds a sense of strength and maturity to the storyline. He plays his role with a balanced mix of power and emotion, making the character believable and memorable without overacting.Arjun Rampal contributes strongly with a very composed and focused performance. He adds a sense of mystery and depth, and his character holds the audience's attention throughout. Rampal's acting feels effortless yet very effective, helping maintain the film's intense tone.The biggest highlight, however, is Ranveer Singh as the spy. Ranveer fits the role perfectly. His energy, expressions, and emotional range show how much thought he has put into understanding the character. He plays a spy who carries both responsibility and inner conflict, and he brings this out in a very natural way. His action scenes look real, and his emotional moments feel honest. Ranveer's performance is strong enough to uplift the film on many levels.The direction and storytelling are simple but impactful, keeping the focus on characters rather than unnecessary twists. The pacing is smooth, and the background music supports the tension in the right moments.Overall, Dhurandhar is a well made, engaging, and powerful film. With strong acting from Akshaye Khanna, Sanjay Dutt, Arjun Rampal, and an excellent performance by Ranveer Singh, it becomes a movie worth watching for anyone who enjoys intense and meaningful cinema.",10
Blockbuster movie. Must watch.,"I initially thought the movie would have unrealistic action scenes to glorify the spy. But I was taken aback by the meticulously well done world building of Pakistan and Lyari. It showed the mindset of mafia, terrorists and pakistan's intelligence agency very well and which is reality grounded. Pakistan is historically known to attack India and torture the captured military personnel brutally and in an inhumane way. The movie doesn't shy away to show that brutal side of Pakistan. The actors gave a fabulous performance, particularly Akshay Khanna and Ranveer Singh.This movie was a treat to watch. I would recommend every Indian who isn't delulu left wing but actually cares for the nation regardless of whether they are left or right wing to watch this movie.",10
Awesomely thought and scripted movie,"Amazed to see a brilliant movie coming from Aditya Dhar, which is well scripted and offers you a cinematic experience.It showcase the journey of weak Indian government in early 2000 against terrorism ; and how RAW launches a brilliant plan to infiltrate Pakistani mafia.Akshya Khanna will blow your mind with subtle act. You will find him heroicA must watch in theatres only !",9
"Started strongly, but falters at places","Dhurandhar opens with a jolt. The film throws you straight into the brutality of its historical backdrop, staging the violence
with a kind of cold intensity that doesn't letup. The story dives into the world of undercover operations, betrayal, and the
constant tension of living behind enemy lines.The performances are easily the strongest pillar here. Ranveer Singh handles the lead role with solid control, especially in the
heavier moments, though the film never lets us truly get under his skin. The real standout is Akshaye Khanna as Rehman
Dakait. He barely speaks, yet his eyes carry entire paragraphs. Every expression lands like a threat, and he steals the frame
without even trying. I personally felt Sanjay Dutt as SP Aslam as the weaker character, with no impactful dialogue or presence on the screen.Technically, Dhurandhar is an impressive film. The background score keeps tightening the rope around the audience, although I didn't feel it synced every time with the scene. The cinematography was good, however the direction and editing could have been better. A lot of choppy editing was noticeable throughout the movie. The camera movement while decent throughout the movie, was awkward on certain occasions. The use of real footage of 26/11 conversation was something surprising as well as heavily convincing.But the film collapses under its own weight. There are too many characters, too many arcs, and too many threads fighting for attention. With the narrative jumping around so much, there's little emotional connection with the protagonist or his
mission. It's hard to care whether he succeeds or fails when the film doesn't slow down enough to let us live with him.The romance between Ranveer Singh and Sara Arjun is easily the weakest part of the film. The chemistry felt both awkward as well as forced. Everytime there scene appeared, it kinda pulled me out of the real narrative.The violence, while impressive in execution, sometimes crosses into excess. There are moments that feel gruesome just for the sake of being gruesome, adding shock but not substance. The pacing was another concern. The film was long by atleast 30 minutes due to various unnecessary subplots and I felt it could have been wrapped in 3 hrs with a tighter grip on the story.Overall, Dhurandhar is an ambitious and technically strong movie, that works mostly due to it's premise and great performances, however is bloated by uneven storytelling that loses it's grip on the way.My Rating : 3.5/5.",7
Blood in Shadows,"It's brutal, uncompromising, and unapologetically hard-edged. Perfectly assembled cast. Each actor embodies their role with precision. Powerhouse performance from each character. Together, they elevate the films from mere action into a character driven saga. Strong background score becomes part of the story.",10
A Milestone in Indian Spy Cinema,"Dhurandhar is nothing short of a landmark in Indian espionage filmmaking. Bold, sharp, and unapologetically intense, the film elevates the spy genre in ways Bollywood has rarely attempted. What sets it apart is its commitment to gritty realism, its depiction of covert operations, high-stakes intelligence work, and the psychological toll on field agents feels far more grounded than the glossy, larger-than-life approach seen in many mainstream spy franchises.The film's portrayal of a hostile intelligence adversary, modeled through its fictionalized spy agency antagonists, is brutal, raw, and narratively effective. Where some commercial films opt for sanitization or melodrama, Dhurandhar leans fully into the darker shades of espionage, using tension and moral ambiguity to drive the story forward.The screenplay is exceptional. Real-world inspired incidents are woven seamlessly into the narrative, creating a sense of authenticity that never feels forced. Every subplot, every twist, and every backstory merges into a cohesive whole without a single jarring bump. It's rare to see such meticulous structuring in Bollywood thrillers.The background score deserves special recognition. It heightens the suspense without overwhelming the scenes, striking the perfect balance between cinematic flair and subtle atmospheric tension. The action sequences, too, are a standout-brutal, tightly choreographed, and refreshingly devoid of unnecessary slow motion or over-the-top heroics.In a genre often dominated by style over substance, ""Dhurandhar"" proves that Indian cinema can deliver espionage storytelling that is both artistically rich and thrillingly raw. It's a must-watch for fans of realistic spy dramas and a benchmark future Indian films in this genre will be measured against.",10
Aditya Dhar !! You beauty,"What a movie !!!! Shows how actually a spy operates.Dhurandhar is a film that stays with you long after the credits roll. It is not merely a spy thriller; it is an emotional reminder of the men and women who walk unknown streets, carry hidden identities, and fight unacknowledged battles so that the rest of us can live in peace. Rarely does a film manage to blend intensity, patriotism, and raw human emotion with such precision.The narrative hits with force. Every frame feels purposeful, every scene carries weight. The director crafts a world of shadows where loyalty is tested, sacrifice is constant, and courage is not loud - it is silent, disciplined, and deeply personal. What touches the heart is the film's honesty. It does not glorify heroism; it reveals the emotional cost behind it.The lead actor delivers a performance that is both powerful and heartbreakingly vulnerable. You see the steadiness of a soldier, the burden of duty, and the quiet tremors of a human being who cannot afford to break. The supporting cast mirrors this emotional depth, giving the story a lived-in realism that draws you in completely.The writing is sharp yet sensitive, capturing the spirit of service without theatrics. The background score elevates this emotional journey beautifully - stirring, soft at the right moments, and rising with a patriotic pulse when needed. The cinematography matches the tone perfectly, pulling you into the tension, the loneliness, and the unspoken bravery that defines an intelligence operative's life.What makes Dhurandhar unforgettable is its heart. It honours those who protect India without applause, without visibility, without rest. It is a tribute to sacrifice that ordinary people will never fully understand - and that is exactly why it must be seen.A gripping, emotional, deeply heartfelt film.",10
The best espionage film in Indian cinema.,"I do not even know where to start but I will try my best to give it a shot.The thing is that we have abused words like greatest, masterpiece, generational and blockbuster to an extent where they mean nothing anymore and we have thrown them at so many empty mediocre films that when something real arrives we do not have the vocabulary left to honour it. Because of that inflation of praise I do not know how to give justice through words to something that actually deserves reverence.All I can honestly say is that every Indian should watch this film because Dhurandhar is not just any film, it is one of the greatest cinematic experiences of recent times and unquestionably the best espionage film in Indian cinema.The performances are frighteningly brilliant because these people are not acting. They are breathing the consequences of history. Akshaye Khanna does not perform, he embodies Rehman Dakait, one of the finest actors this country has ever seen. Ranveer Singh reminds you that regardless of how loud, messy or chaotic he is as a public figure he is a generational actor. Arjun Rampal, Sanjay Dutt, R Madhavan, Rakesh Bedi and Sara Arjun every single one of them delivers with terrifying precision.Aditya Dhar, easily one of the best directors right now, deserves to be celebrated because he has created something that deserves cultural recognition. We celebrate average films with loud voices but this is the kind of work that should be remembered. I am genuinely glad that this story is being told in two parts because one film could never have carried the weight of this narrative or the tension of this experience.There is a moment in this film where they play the real recordings from 26/11 attacks, the real conversations between the handlers and the terrorists and in that moment everything becomes frightening, enraging and unbearably real. It does not sensationalise tragedy and it does not treat terror like entertainment. It confronts you with history and demands that you feel something instead of just consuming it.Dhurandhar is special because it is not scared to show the truth even when the truth is ugly.Oh man, I could go on and on about how I am in absolute awe but anything I say right now will probably sound like hyperbole to y'all, so it is better that you go watch the film and live the experience I just lived.The post credit scene that teases Dhurandhar 2 gave me chills.19 March 2026. I'll be there.I don't know if these words do justice to what I just experienced, but if you're reading this -Go watch Dhurandhar. Not later. Now.",10
Enjoyed watching it...,The movie was gripping enough to keep me hooked for three plus hours... We watched in IMAX and found the bgm was done well... There were some good action sequences and gore scenes that kept my eyebrows raised... Very Indian and full of patriotic masala so one should take the story with the grain of salt... Had fun with the hooting and laughs in the theatre...,9
"Dhurandhar: A Bold, Immersive Thriller Elevated by Powerful Performances and Technical Mastery","Dhurandhar opens with striking intensity, pulling the audience straight into the unforgiving world of covert operations and the psychological weight carried by those who live behind enemy lines. Rumoured to be inspired by the life of Major Mohit Sharma, the film blends tension, atmosphere, and high-stakes drama with impressive control. Ranveer Singh delivers a steady, compelling performance, while Akshaye Khanna's near-silent portrayal of Rehman Dakait is magnetic-every look feels loaded with meaning. Technically, the film is exceptional: the score heightens the suspense, the cinematography and production design achieve an eerie authenticity, and the VFX integrates seamlessly with practical work. Smart use of real footage and audio elevates key moments into genuinely chilling territory, and the action sequences are raw, grounded, and executed with remarkable precision.Where Dhurandhar stumbles slightly is in its narrative density. With a large cast and multiple threads, the emotional core doesn't always receive the breathing room it deserves, and a few subplots-particularly the romantic track-feel less essential to the film's overall impact. A handful of violent moments edge toward excess, and the pacing occasionally stretches under the weight of its ambitions. Still, the film's strengths far outweigh its flaws. Dhurandhar stands as a bold, immersive, and technically outstanding thriller-one that leaves a strong impression and sets the stage confidently for its next chapter.",9
So...it's good...but...,"Let's talk about the positives first. Great acting all around, very well cast. I think this was one of Rakesh bedi's best performances. I don't get the hype around Akshaye Khanna in this movie. He is always stellar and did well in this movie but this is no where close to his best acting performance. I felt his performance was as good as Sanjay dutt or Arjun Rampal without being that much better. Ranveer definitely stood out and carried the movie well. I'm not a huge ranveer fan but he always performs really well. This was ranveer's ""Animal"". The story line was compelling especially considering it was based on true events. The movie was very long though and did drag in certain parts. I also don't get the need for hard core gore when it comes to showing the violence. I thought they could've done a better job of speaking more Urdu and less Hindi throughout the film to add to the authenticity of being in Pakistan. The music was average. Not a huge fan of the underlying Hindu nationalist subtext throughout the movie. This is not a movie I would want to watch again. That being said, I will be seeing the sequel for sure. I do feel it is way better than any yash raj spy universe movie but doesn't compare to movies like raazi and URI which shine in this ""spy/armed forces jai hind"" genre. Overall I would say this movie was towards the upper end of average but not above average in any metric.",7
Very lengthy and over stretched,"This should have been a web series. It had few moments of its own, but most of the time it was boring and over stretched.By the end of three and half hours, I had reached the point where I wanted to leave the hall without completing it.Akshay Khanna is very talented and underutilized actor in Bollywood. Whatever role is thrown at him, he adds soul into it. But, here he had the strange face expression in the entire movie. What Aditya Dhar was thinking?The story is twisted narrative of actual events and the person (Ajit Dobhal in reality) played by the R Madhavn is the real culprit who went to Kandhar to release Azhar masood during Atal Bihari government. Later Azhar formed JeM and did various terror attacks on India.Also, In one scene Madhavan asks his colleague to collect proofs and wait for the nationalist government, It is a the joke on the intelligence system of India. First of all no one would that. Also Everyone knows that the terrorist incidents have increased in India since so called ""nationalist government"" took over.Don't go to the theatre to learn the history because the fake version of it is shown in the movie. If you are an action spy movie fan, then only go for it.",3
Brilliant Movie - Must Watch,"Dhurandhar honestly shocked me in the best way possible. It's been a long time since a Hindi movie pulled me in this deep. The film is raw, intense and hits you straight in the gut. The scale is massive, the performances are crazy good (Ranveer and Akshaye Khanna absolutely killed it), and the whole world-building is so real that for a moment you feel like you're actually standing right inside the chaos.What I loved the most is that the movie doesn't shy away from showing the dark truth behind terrorism, politics and how our soldiers and officers actually risk everything. Some scenes are brutal, yes, but they are meant to be brutal. That's the point - it's not fake heroism, it's the real cost of violence.The cinematography, background score, the long but gripping storyline - everything comes together like a proper cinematic experience we rarely get nowadays. This is not a ""timepass movie,"" this is one of those films that stays in your head hours after you walk out of the theatre.India honestly needs more movies like this - fearless, strong and unfiltered. Dhurandhar isn't perfect, but it is powerful. And in today's times, that's more important.Highly recommended.",10
"Constant thrill for 3+ hr, intricately detailed in all aspects","A once in a decade spy thriller, and coming from the director of Uri, the movie is such an upgrade on revealing Pakistan's reality, the other spy-universes don't even come close to the unabashed portrayal of reality and the constant sense of danger our Indian spies must be going through each moment behind the enemy lines.More than a one-time watch as I am sure one could pick out more details in subsequent viewings and connect them with the real life characters the movie alludes to.",10
Worth watching,"It's been a long time since Bollywood pulled together a cast this big and truly made it count. Great chemistry, sharp pacing and strong performances kept me hooked. I'm still replaying scenes in my head. A film that's absolutely worth your time and deserves all the praise coming its way and definitely a movie I'd recommend without hesitation.",10
Marvelous - Dhurandhar in every sense,"All Indian spy movies that have been made in recent times are useless and far from reality - with RAW-ISI agent romancing each other and what not, so my hope were were not very high.Simply put - I was not aware of movie's length when I went to see it a local Vue cinema yesterday i.e. On 7th Dec. Show start time was 19:55, but the film actually started at about 20:20, intermission came and went and when film was finished I asked my wife for time and she said 23:55 - phew... I can't recalled going to to a 3+ hour film which got me so hooked that I forgot about time have passed by - tells you all about the story and screenplay.A must watch!! Can't stress much - this being my first every movie review and might be the only one for long time.",10
"Blockbuster Alert. ""Don't miss this one.""","Watch Dhruandhar and I must say After many years a film truly kept me engrossed for the entire 3 hours and 34 minutes. Totally worth watching.The direction by Aditya Dhar is commendable and the performance by actors is truly remarkable, especially Akshay Khanna-He absolutely nailed it.The music is so so good that it perfectly compliments the film and enhances the overall experience.This movie is definitely not for kids, but for everyone else - it's a complete theatre experience. Please don't wait for OTT release.After a long time, I walked out of the cinema genuinely satisfied.",10
Star Studded Piece of Art,"In a world of stylized and glamourised spy thrillers, specially in bollywood with all the big dance numbers and objectification of female stars. This movie by Aditya Dhar presents a Raw and power packed action spy thriller with absolutely well performed by brilliant actors Ranveer, Akshay Khanna, Arjun Rampal and Sanju Baba. But, the one actor that takes the crown of acting is our underrated superstar Akshay Khanna as Rahman Dakait. His silence in between scenes speaks so much that dialogues couldn't. It's a pure cinematics experience with the production quality top notch and music and background score taking scenes to a tier above. Shashwat Sachdeva's music has added the calm and charm to the movie. It's a long movie but it builds the characters so well that you are hooked to it. Can't wait for part 2 releasing in March 2026. It's an absolute must watch cinema experience. So definitely go and enjoy folks!",10
Best Spy movei of 2025 since after baby,"Best movie to watch i have watched this in theatre for 2 times still want to watch this again....not a single moment you feel bore in this movie the songs, the cinematography is so goated that I feel so amazed to see.you need to watch the movie in theatres for the best sound effect and the use of music in movie was so nice.",10
Best indian spy movie with the flavour of gangster drama,"Dhurandhar movie is proudly nationalist spy movie shows reality of terrorist & isi & 0.5 front & focusing on real face of them not showing lies like raazi & isi universe. Dhurandhar is extremely well made movie, which gives the entertainment of different genre like spy, action, gangster drama, thriller etc. Watching Dhurandhar is like watching a spy novel on screen chapterwise which excites us more & more, each chapter has its sub story which leads to final chapter story which provides this movie uniqueness & excites viewers with each chapter. Movie Direction, Art Direction, Editing, & Acting of each actor is superb. This movie music is top notch, every song either old, remix, & original elevate the characters, action sequences, & story. It really shows true face of isi & pakistan & their thoughts on indians not like some isi universe. I really like this movie as an indian & as an movie buff. Hats off to aditya dhar to finally giving us nationalist, traditional, & extremely well made spy movie to all Indians. Jai Hind!!🇮🇳🇮🇳🇮🇳",10
"A Relentless, Intellectual Bloodbath","If Uri was a surgical strike, Dhurandhar is an all-out siege. Spanning a massive 214 minutes, it avoids the ""3-hour slump"" by shifting its weight between visceral, R-rated action and a ""Trojan Horse"" plot that demands your constant attention. It is a rare action film that treats its audience as chess players rather than just spectators.Action: Grounded, Brutal, and Kinetic
Unlike the floaty, digital spectacle of modern blockbusters, the action here feels dangerously heavy.The ""Splatter"" Realism: From motorcycle chases through narrow Karachi alleys to the ""meat-hook"" sequences, the violence is unflinching. It doesn't rely on slow-motion ""hero moments""; instead, the choreography emphasizes the raw desperation of a spy fighting to survive deep undercover.Sound as a Weapon: The background score by Shashwat Sachdev-blending Arabic hip-hop with metallic, industrial beats-turns every shootout into a sensory assault that keeps the adrenaline levels high for the entire runtime.The Plot: A Labyrinth of Betrayal
The ""good plot twists"" you mentioned are the film's true engine. Rather than a simple good-vs-evil story, Dhurandhar plays with nested identities:The Long Game: Ranveer Singh's Hamza Ali Mazari isn't just a spy; he is a man playing a role within a role. The script keeps you guessing whether he has genuinely been ""turned"" by the brotherhood of Akshaye Khanna's charismatic Rehman Dakait.The Moral Grey: The biggest twist isn't a ""whodunnit"" but a ""who-am-I."" The film brilliantly dismantles the bond between the hero and the villain, showing how nationalism can lead to a betrayal that feels as cold as it is necessary.Standing Out in the Genre
While many spy films (like the YRF Spy Universe) opt for ""Barbieland"" glamour, Dhurandhar feels lived-in. Akshaye Khanna's performance as the calculating mobster is a masterclass in quiet menace, often stealing the screen from the more restrained Ranveer Singh. It's the interplay between these two-and the shocking ""Part 1"" cliffhanger-that makes the length feel earned.Final Verdict: Dhurandhar is a ""quantum leap"" for Indian action cinema. It's long, it's loud, and it's unapologetically violent, but it has the brains to match its brawn.",7
